screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
bu_beta,216431600,25,186,93,0,NULL,1289931602,2,
VinceCouture28,2323186111,87,473,283,763,1452408281,1391316351,1,
adrianobarbosaz,4592378313,45,182,4,0,NULL,1450986372,2,
Ryan_Balog,102862213,103,119,1399,0,NULL,1262918384,2,
thebloodynerve,19911380,8959,8420,17754,46761,1452462931,1233588274,1,
ltdallas_daniel,1609083068,0,19,0,0,NULL,1374355876,2,
w_travian,4661725586,47,182,2,10,1451926181,1451226024,1,
GCSinner,358171555,70,345,46,70,1452226576,1313762662,1,
dragus_z,4450106181,251,917,290,209,1452430964,1449851322,1,
Dlow22x5,512434367,1017,3065,58,285,1452368453,1330721284,1,
Folksycar,2346242281,8,185,2,4,1442015409,1392525366,1,
danmaro666,995825928,4,32,0,1,1371613834,1354913206,1,
JohnMcM1980,976974714,133,354,439,399,1451823052,1354137324,1,
LDMamitagPhD,4690630482,59,160,1,0,NULL,1451669850,2,
SCommenville,4690641182,1,25,3,1,1451822160,1451668900,1,
DanielSacnchez,2322994106,39,281,5,0,NULL,1391297128,2,
msitnyk,152837916,179,346,175,1201,1451750112,1275872283,1,
yo67224100,1667708472,3,29,0,1,1451669771,1376398706,1,
billynhl1989,3424668591,285,629,8,25,1452034042,1439671131,1,
Kuroinotori,4687694383,55,133,58,56,1452387277,1451630178,1,
RhysJ0112_MS,3225179014,237,751,32,57,1451936848,1430422828,1,
chesmuphoto,2819585992,148,148,10,307,1452340851,1412860696,1,
chris_l_panter,36366194,11,144,2040,113,1452455520,1241014432,1,
aTaylorbase,3269002231,246,1947,0,0,NULL,1436091680,2,
HiJazz3,1572876290,26,130,4,3,1449938236,1373119472,1,
Beryann,39331403,439,1817,72,1851,1452433522,1242073104,1,
arielautre,73950201,579,859,612,1251,1452474940,1252868847,1,
akbarmustika208,4363922834,29,127,14,502,1452468200,1448519235,1,
bJ2BAC0tkjU8rIw,4518283281,1544,4478,507,7,1451662009,1450391675,1,
rebecca_thielen,2997896741,33,259,452,155,1452425235,1422196011,1,
27853Mariadiva,4451994880,1497,5002,116,33,1452380209,1449865331,1,
BiG_KP50,50863955,993,1763,1358,4455,1452446242,1245979991,1,
beznotmusic,2524849842,106,530,10,15,1452162254,1401105304,1,
ToneTools,2994861669,7,78,2,12,1451660010,1422050845,1,
Granter54,1441131157,47,186,5,28,1433932669,1368967946,1,
